ID,Year,Chapter,PgNum,Question
1,,2,5,The word 'World' is used to mean 3 things in the Bible. What are they?
2,2017,2,7,What are the 3 Realms that man has within him?
3,2018,2,8,"Write a brief note on Lust of the Flesh, Lust of the Eyes and Pride of Life."
4,2022,2,8,Explain the Lust of the Flesh and the Pride of Life.
5,,2,8,"When Satan captures the 3-Realms, what is the outcome?"
6,,2,9,Who will count Earnest Greatness as Dung?
7,2023,2,11,What happens to a Christian who compromises with the world?
8,,3,14,David warns of 3-Means by which Unbelieving friends may affect us. What are they?
9,2018,3,16,How can we shine as lights in this world?
10,2023,3,17,When do we cease to shine as lights?
11,2022,4,26,Write on the 2-Fold Responsibility of a Christian.
12,2019,7,48,What is the purpose of the sacrifice of Jesus?
13,2023,9,56,What is God's Standard for us?
14,2022,9,65,How does a Christian impress the Unconverted with a sense of the necessity and desirableness of a Christian Life?
15,2023,10,68,What should our outer garments manifest?
16,2018,10,69,"How does a man become self-conscious, world-conscious and earth-bound?"
17,2019,10,69,Why does the Bible forbid facial make-up?
18,2017,10,73,"Who covered a womans's head with long hair?
What are the 2 ways by which this truth is taught to women?"
19,2017,11,78,What are the physical disorders due to heavy smoking?
20,2022,11,81,How does Satan use drugs as a tool to destroy mankind?
21,2018,12,84,Why did Daniel refuse to drink the wine which the king drank?
22,2019,12,89,Name the Old Testament prophets who prophesied about the sin of drinking.
23,2017,13,99,What was the reason for Daniel excelling 'all the wise men of Babylon'?
24,2023,13,99,In what way did Daniel excel all the wise men of Babylon?
25,2019,14,103,How does wealth affect a child of God?
26,2023,14,104,When does one err from the faith?
27,2022,14,108,What does the Scripture teach about 'Bribe'?
28,2018,14,113,How should the children of God use their riches according to the Word of God?
29,2017,15,118,"Before seeking a partner, what sort of questions should an youth ask himself?"
30,2019,15,118,"Before seeking a partner, what are the questions a youth should ask himself?"
31,2017,2,"30,8","What are not of the Father, but of the world?"
32,2018,10,68-70,How should a Christian's garments be?
33,2022,10,"76,87",Who is a Nazarite? What are the things he has to observe during the days of his consecration?
34,2019,11,"79,80","Explain with Bible reference, how our body is defiled by smoking."