Year,Chapter,PgNum,Question
,1,1,Who are Truly Saved?
,1,1,"As we progress in Spiritual life, what is the problem that we face?"
2018,1,2,Write 4 things that thrill and excite the youth of today.
2023,1,3,Give any 2 attributes of a Truly Converted Christian.
2017,2,5,Which way leads to Destruction? What does Paul call it?
2023,2,5,Give any 2 meanings of the word 'World' according to the Scriptures.
,2,6,What is the rule of our Faith?
2018,2,7,List out the 3 Realms found within man.
2019,2,7,What are the 3 Realms found within man?
,2,7,"According to Eph 6:12, against whom do we wrestle?"
,2,7,In whose hand is this present evil world?
2018,2,9,Who possess inner vision?
2019,2,9,What is the Hallmark of a true Christian? Who cannot discern it?
2022,2,9,Who will count the earthly gain as dung?
2018,2,10,What does a converted man manifest to the worldlings?
2022,2,17,When does a Christian cease to shine as lights?
2019,2,"7,97",Write 4 Names given to Satan in the Bible.
2017,2,"9,10",What is the Hallmark of a true Christian? What passeth away as stated in 1 John 2:17?
2019,3,14,"Write 3 Warnings about Unbelieving friends, who may affect us, according to Ps 1:1."
,3,16,"What did Dinah, the daughter of Jacob seek? What was the end result of that?"
,3,18,What does the word of God call us if we have friendship of this world?
2018,3,20,What is a Reasonable Service?
2017,3,22,Why shall Sin not have dominion over you?
2019,3,17,What things in the life of a true Christian make a deep impression in the heart of sinners?
2019,3,18,How does Satan turn our affections away from God?
2017,4,24,What are the 2 things that have to be laid aside in our Christian race?
2023,4,24,What are the 2 things that have to be laid aside in a Christian race?
2019,4,26,What is the 2-Fold Responsibility of a Child of God?
2022,5,35,What are the 4 methods ordained by God for truth to prevail?
2023,5,35,In what way does the TV hinder a child of God who desires to walk with God?
2022,5,37,What should we do for perfect peace to be seen in us?
,6,39,What is the Dangerous Triple Effect about the Internet?
,7,44,Why does pornography have such strength?
2023,7,47,What are the 2 things that are defiled when the eyes are defiled?
,7,47,What happens when everytime a person commits a sin of immorality?
2023,7,48,What is the purpose of the sacrifice of Christ?
2019,8,53,Write any 8 works of the Flesh.
2022,10,67,What makes a Christian up-to-date?
2017,10,69,What does 'Shamefaced' mean?
2022,10,69,What does 'Shamefaced' imply?
2017,10,76,Why was Jesus called 'Nazarene'?
2018,10,76,What is the vow of a Nazarite?
2022,10,76,Why was Jesus called 'Nazarene'?
2023,10,76,What is meant by the vow of a Nazarite?
2022,11,79,For whom there remains no more sacrifice for sin?
2023,11,79,What will happen to those who sin wilfully after receiving the knowledge of the truth?
2019,12,83,What did Daniel purpose in his heart?
2022,12,87,Who were the 2 forbidden to drink wine in Old and New Testament?
2017,12,88,Why did God commend the house of the Rechabites?
2018,12,88,What did God do to the house of the Rechabites?
2022,13,99,Why did Daniel excel all wise men of Babylon?
2017,13,100,"What special judgment awaits the wise men of the world who rejected Christ, as stated in 1 Cor 1:19?"
2023,13,100,Why does God grant spirit of Wisdom and Discernment?
2018,13,"99,100",How do we receive the Wisdom of God?
2018,14,115,When will your barns be filled with plenty?
2019,14,109,Mention any 4 things which fall in the category of Gambling.
2018,15,135,Give 2 Scriptural references to show that God hates divorce.
2017,15,123,Mention the sins which are against our own body.
2017,15,134,Where all will you be witnesses after the Holy Ghost is come upon you?
2023,,,Why should we be sober and vigilant?